ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2015	17-JUL-15	SANTA BARBARA	42S07N30W30	APPLE	ORGANIC JMS STYLET-OIL	.5647	MINERAL OIL	.5483237	.25	A	G
N/A	2015	03-OCT-15	SANTA BARBARA	42S07N35W23	ARTICHOKE (GLOBE) (ALL OR UNSPEC)	SPRET	6.0628	N/A	N/A	16.52	A	G
N/A	2015	05-OCT-15	SANTA BARBARA	42S07N35W23	ARTICHOKE (GLOBE) (ALL OR UNSPEC)	SPRET	7.1585	N/A	N/A	19.5	A	G
N/A	2015	28-SEP-15	SANTA BARBARA	42S07N35W26	ARTICHOKE (GLOBE) (ALL OR UNSPEC)	SPRET	14.6822	N/A	N/A	42.92	A	G
N/A	2015	22-SEP-15	SANTA BARBARA	42S07N35W23	ARTICHOKE (GLOBE) (ALL OR UNSPEC)	SPRET	13.6596	N/A	N/A	37.41	A	G
NO	2015	05-JUN-15	SANTA BARBARA	42S04N28W06	AVOCADO (ALL OR UNSPEC)	FIRST CHOICE NARROW RANGE 415 SPRAY OIL	171.4314	MINERAL OIL	168.002772	13.5	A	G
NO	2015	25-JUN-15	SANTA BARBARA	42S04N26W12	AVOCADO (ALL OR UNSPEC)	IAP 415 SUMMER SPRAY OIL	255.2629	MINERAL OIL	250.157642	33	A	G
NO	2015	29-APR-15	SANTA BARBARA	42S04N28W03	AVOCADO (ALL OR UNSPEC)	IAP ORGANIC SUMMER 415 SPRAY OIL	2.7449	MINERAL OIL	2.690002	33	A	G
NO	2015	19-MAY-15	SANTA BARBARA	42S05N28W34	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	468.4675	MINERAL OIL	459.09815	22	A	A
NO	2015	04-JUN-15	SANTA BARBARA	42S04N27W19	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	173.9008	MINERAL OIL	170.422784	3.5	A	G
