ADJUVANT,YEAR,DATE,COUNTY NAME,COMTRS,SITE NAME,PRODUCT NAME,POUNDS PRODUCT APPLIED,CHEMICAL NAME,POUNDS CHEMICAL APPLIED,AMOUNT TREATED,UNIT TREATED,AERIAL GROUND INDICATOR
NO,2012,15-Feb-12,SANTA BARBARA,42S06N32W11,APPLE,LEAF LIFE GAVICIDE GREEN 415,122.0553,MINERAL OIL,119.614194,2.87,A,G
NO,2012,25-Feb-12,SANTA BARBARA,42S06N31W11,APPLE,OMNI OIL 6-E,43.3676,MINERAL OIL,42.500248,6,A,G
NO,2012,2-Feb-12,SANTA BARBARA,42S06N32W11,APRICOT,LEAF LIFE GAVICIDE GREEN 415,9.0726,MINERAL OIL,8.891148,0.64,A,G
NO,2012,6-Jun-12,SANTA BARBARA,42S05N28W33,AVOCADO (ALL OR UNSPEC),FIRST CHOICE NARROW RANGE 415 SPRAY OIL,1241.3033,MINERAL OIL,1216.477234,88.7,A,A
NO,2012,4-Aug-12,SANTA BARBARA,42S04N25W21,AVOCADO (ALL OR UNSPEC),IAP ORGANIC SUMMER 415 SPRAY OIL,17.745,MINERAL OIL,17.3901,1,A,G
NO,2012,29-May-12,SANTA BARBARA,42S04N30W01,AVOCADO (ALL OR UNSPEC),IAP ORGANIC SUMMER 415 SPRAY OIL,425.8796,MINERAL OIL,417.362008,20,A,A
NO,2012,31-Jul-12,SANTA BARBARA,42S04N25W21,AVOCADO (ALL OR UNSPEC),IAP ORGANIC SUMMER 415 SPRAY OIL,35.49,MINERAL OIL,34.7802,2,A,G
NO,2012,30-May-12,SANTA BARBARA,42S04N30W01,AVOCADO (ALL OR UNSPEC),IAP ORGANIC SUMMER 415 SPRAY OIL,2448.8076,MINERAL OIL,2399.831448,115,A,A
NO,2012,28-Jul-12,SANTA BARBARA,42S04N26W12,AVOCADO (ALL OR UNSPEC),IAP ORGANIC SUMMER 415 SPRAY OIL,1171.1688,MINERAL OIL,1147.745424,55,A,A
NO,2012,5-Sep-12,SANTA BARBARA,42S05N28W36,AVOCADO (ALL OR UNSPEC),IAP ORGANIC SUMMER 415 SPRAY OIL,74.5289,MINERAL OIL,73.038322,3,A,G
NO,2012,26-Jul-12,SANTA BARBARA,42S04N25W21,AVOCADO (ALL OR UNSPEC),IAP ORGANIC SUMMER 415 SPRAY OIL,35.49,MINERAL OIL,34.7802,2,A,G
NO,2012,18-May-12,SANTA BARBARA,42S04N29W10,AVOCADO (ALL OR UNSPEC),IAP ORGANIC SUMMER 415 SPRAY OIL,1895.1641,MINERAL OIL,1857.260818,89,A,A
NO,2012,8-Jun-12,SANTA BARBARA,42S04N28W04,AVOCADO (ALL OR UNSPEC),IAP ORGANIC SUMMER 415 SPRAY OIL,397.4876,MINERAL OIL,389.537848,11.2,A,G
NO,2012,29-May-12,SANTA BARBARA,42S04N30W01,AVOCADO (ALL OR UNSPEC),IAP ORGANIC SUMMER 415 SPRAY OIL,425.8796,MINERAL OIL,417.362008,20,A,A
NO,2012,28-Jun-12,SANTA BARBARA,42S04N25W04,AVOCADO (ALL OR UNSPEC),IAP ORGANIC SUMMER 415 SPRAY OIL,149.0579,MINERAL OIL,146.076742,7,A,A
