Query returned the following data:,,,,,,,,,,,,
,,,,,,,,,,,,
There are 2562 records returned.,,,,,,,,,,,,
,,,,,,,,,,,,
ADJUVANT,YEAR,DATE,COUNTY NAME,COMTRS,SITE NAME,PRODUCT NAME,POUNDS PRODUCT APPLIED,CHEMICAL NAME,POUNDS CHEMICAL APPLIED,AMOUNT TREATED,UNIT TREATED,AERIAL GROUND INDICATOR
NO,2017,6-Apr-17,SANTA BARBARA,42S09N24W18,APPLE,PHT 440 SUPREME SPRAY OIL,555.9825,MINERAL OIL,550.422675,13,A,G
N/A,2017,27-Jun-17,SANTA BARBARA,42S07N35W23,ARTICHOKE (GLOBE) (ALL OR UNSPEC),CROP OIL CONCENTRATE,8.9027,N/A,N/A,9.9,A,G
NO,2017,6-Sep-17,SANTA BARBARA,42S04N25W25,AVOCADO (ALL OR UNSPEC),IAP ORGANIC SUMMER 415 SPRAY OIL,3.549,MINERAL OIL,3.47802,1,A,G
NO,2017,29-May-17,SANTA BARBARA,42S04N28W03,AVOCADO (ALL OR UNSPEC),IAP ORGANIC SUMMER 415 SPRAY OIL,372.6446,MINERAL OIL,365.191708,35,A,G
NO,2017,30-May-17,SANTA BARBARA,42S09N34W35,AVOCADO (ALL OR UNSPEC),IAP SUMMER 415 SPRAY OIL,716.6844,MINERAL OIL,702.350712,67.31,A,A
NO,2017,28-Jun-17,SANTA BARBARA,42S05N31W26,AVOCADO (ALL OR UNSPEC),IAP SUMMER 415 SPRAY OIL,2022.928,MINERAL OIL,1982.46944,285,A,A
NO,2017,17-May-17,SANTA BARBARA,42S04N25W27,AVOCADO (ALL OR UNSPEC),IAP SUMMER 415 SPRAY OIL,638.8194,MINERAL OIL,626.043012,30,A,A
NO,2017,23-May-17,SANTA BARBARA,42S04N29W09,AVOCADO (ALL OR UNSPEC),IAP SUMMER 415 SPRAY OIL,2129.3979,MINERAL OIL,2086.809942,100,A,A
NO,2017,28-Jun-17,SANTA BARBARA,42S04N30W01,AVOCADO (ALL OR UNSPEC),IAP SUMMER 415 SPRAY OIL,1192.4628,MINERAL OIL,1168.613544,56,A,A
NO,2017,27-May-17,SANTA BARBARA,42S09N34W34,AVOCADO (ALL OR UNSPEC),IAP SUMMER 415 SPRAY OIL,141.9599,MINERAL OIL,139.120702,10,A,A
NO,2017,6-Sep-17,SANTA BARBARA,42S05N31W26,AVOCADO (ALL OR UNSPEC),IAP SUMMER 415 SPRAY OIL,2129.3979,MINERAL OIL,2086.809942,300,A,A
NO,2017,18-May-17,SANTA BARBARA,42S04N25W21,AVOCADO (ALL OR UNSPEC),IAP SUMMER 415 SPRAY OIL,241.3318,MINERAL OIL,236.505164,17,A,A
NO,2017,19-May-17,SANTA BARBARA,42S04N30W01,AVOCADO (ALL OR UNSPEC),IAP SUMMER 415 SPRAY OIL,425.8796,MINERAL OIL,417.362008,20,A,A
NO,2017,24-May-17,SANTA BARBARA,42S04N29W09,AVOCADO (ALL OR UNSPEC),IAP SUMMER 415 SPRAY OIL,2129.3979,MINERAL OIL,2086.809942,100,A,A
NO,2017,30-May-17,SANTA BARBARA,42S04N28W03,AVOCADO (ALL OR UNSPEC),IAP SUMMER 415 SPRAY OIL,936.9351,MINERAL OIL,918.196398,44,A,A
NO,2017,29-May-17,SANTA BARBARA,42S05N30W19,AVOCADO (ALL OR UNSPEC),IAP SUMMER 415 SPRAY OIL,794.9752,MINERAL OIL,779.075696,56,A,A
