ADJUVANT,YEAR,DATE,COUNTY_NAME,COMTRS,SITE_NAME,PRODUCT_NAME,POUNDS_PRODUCT_APPLIED,CHEMICAL_NAME,POUNDS_CHEMICAL_APPLIED,AMOUNT_TREATED,UNIT_TREATED,AERIAL_GROUND_INDICATOR
NO,2018,12-May-18,SANTA BARBARA,42S10N34W36,N-OUTDR GRWN CUT FLWRS OR GREENS,PIC-CLOR 60,9698.1192,CHLOROPICRIN,5780.079043,24.5,A,F
NO,2018,24-Aug-18,SANTA BARBARA,42S10N33W31,N-OUTDR GRWN CUT FLWRS OR GREENS,PIC-CLOR 60,8816.472,CHLOROPICRIN,5254.617312,21,A,F
NO,2018,30-Aug-18,SANTA BARBARA,42S10N34W36,N-OUTDR GRWN CUT FLWRS OR GREENS,PIC-CLOR 60,3904.4376,CHLOROPICRIN,2327.04481,9.3,A,F
NO,2018,15-May-18,SANTA BARBARA,42S10N34W36,N-OUTDR GRWN CUT FLWRS OR GREENS,PIC-CLOR 60,4948.02,CHLOROPICRIN,2949.01992,12.5,A,F
NO,2018,8-May-18,SANTA BARBARA,42S10N34W36,N-OUTDR GRWN CUT FLWRS OR GREENS,PIC-CLOR 60,8787.6835,CHLOROPICRIN,5237.459366,22.2,A,F
NO,2018,10-Oct-18,SANTA BARBARA,42S10N34W25,N-OUTDR GRWN CUT FLWRS OR GREENS,PIC-CLOR 60,6435.4248,CHLOROPICRIN,3835.513181,14.5,A,F
NO,2018,11-Sep-18,SANTA BARBARA,42S10N34W36,N-OUTDR GRWN CUT FLWRS OR GREENS,PIC-CLOR 60,8654.5368,CHLOROPICRIN,5158.103933,19.5,A,F
NO,2018,27-Oct-18,SANTA BARBARA,42S10N33W18,RASPBERRY (ALL OR UNSPEC),PIC-CLOR 60,25756.0934,CHLOROPICRIN,15350.63167,67.1,A,F
NO,2018,27-Nov-18,SANTA BARBARA,42S10N33W07,RASPBERRY (ALL OR UNSPEC),PIC-CLOR 60,1679.328,CHLOROPICRIN,1000.879488,5,A,F
NO,2018,21-Aug-18,SANTA BARBARA,42S10N33W20,STRAWBERRY (ALL OR UNSPEC),PIC-CLOR 60,15995.5992,CHLOROPICRIN,9533.377123,38.1,A,F
NO,2018,25-May-18,SANTA BARBARA,42S10N34W36,STRAWBERRY (ALL OR UNSPEC),PIC-CLOR 60,7964.8128,CHLOROPICRIN,4747.028429,20.75,A,F
NO,2018,8-Feb-18,SANTA BARBARA,42S09N34W01,STRAWBERRY (ALL OR UNSPEC),PIC-CLOR 60,16135.943,CHLOROPICRIN,9617.022028,35.4,A,F
NO,2018,25-May-18,SANTA BARBARA,42S10N34W36,STRAWBERRY (ALL OR UNSPEC),PIC-CLOR 60,7964.8128,CHLOROPICRIN,4747.028429,20.75,A,F
NO,2018,4-Jun-18,SANTA BARBARA,42S10N33W26,STRAWBERRY (ALL OR UNSPEC),PIC-CLOR 60 EC,5903.471,CHLOROPICRIN,3341.364586,20,A,F
NO,2018,26-Sep-18,SANTA BARBARA,42S10N33W28,STRAWBERRY (ALL OR UNSPEC),PIC-CLOR 60 EC,16157.8001,CHLOROPICRIN,9145.314857,59.5,A,F
NO,2018,29-Sep-18,SANTA BARBARA,42S10N34W25,STRAWBERRY (ALL OR UNSPEC),PIC-CLOR 60 EC,11216.5949,CHLOROPICRIN,6348.592713,38,A,F
NO,2018,21-Sep-18,SANTA BARBARA,42S10N33W18,STRAWBERRY (ALL OR UNSPEC),PIC-CLOR 60 EC,35715.9996,CHLOROPICRIN,20215.25577,121,A,F
NO,2018,13-Oct-18,SANTA BARBARA,42S09N34W01,STRAWBERRY (ALL OR UNSPEC),PIC-CLOR 60 EC,12397.2891,CHLOROPICRIN,7016.865631,42,A,F
NO,2018,13-Oct-18,SANTA BARBARA,42S10N33W28,STRAWBERRY (ALL OR UNSPEC),PIC-CLOR 60 EC,10251.3774,CHLOROPICRIN,5802.279608,37.75,A,F
NO,2018,1-Sep-18,SANTA BARBARA,42S10N34W22,STRAWBERRY (ALL OR UNSPEC),PIC-CLOR 60 EC,6517.432,CHLOROPICRIN,3688.866512,24,A,F
NO,2018,25-Sep-18,SANTA BARBARA,42S10N33W33,STRAWBERRY (ALL OR UNSPEC),PIC-CLOR 60 EC,4722.7768,CHLOROPICRIN,2673.091669,16,A,F
NO,2018,22-Sep-18,SANTA BARBARA,42S10N33W32,STRAWBERRY (ALL OR UNSPEC),PIC-CLOR 60 EC,20809.7353,CHLOROPICRIN,11778.31018,70.5,A,F
NO,2018,1-Sep-18,SANTA BARBARA,42S10N33W32,STRAWBERRY (ALL OR UNSPEC),PIC-CLOR 60 EC,5903.471,CHLOROPICRIN,3341.364586,20,A,F
NO,2018,29-Sep-18,SANTA BARBARA,42S10N34W25,STRAWBERRY (ALL OR UNSPEC),PIC-CLOR 60 EC,23318.7105,CHLOROPICRIN,13198.39014,79,A,F
NO,2018,2-Oct-18,SANTA BARBARA,42S10N33W32,STRAWBERRY (ALL OR UNSPEC),PIC-CLOR 60 EC,3542.0826,CHLOROPICRIN,2004.818752,12,A,F
NO,2018,29-Sep-18,SANTA BARBARA,42S10N34W13,STRAWBERRY (ALL OR UNSPEC),PIC-CLOR 60 EC,7819.1473,CHLOROPICRIN,4425.637372,26.49,A,F
